model,8GB,16GB,32GB,64GB,128GB,256GB,512GB,1TB,
iPhone 2G,,,,,,,,,
iPhone 3G,,,,,,,,,
iPhone 3GS,,26400,29900,,,,,,
iPhone 4,17900,20900,23900,,,,,,
iPhone 4S,,20900,,,,,,,
iPhone 5,,21900,25500,28900,,,,,
iPhone 5C,,18900,22500,,,,,,
iPhone 5S,,22500,25900,29500,,,,,
iPhone 6,,22500,,25900,29500,,,,
iPhone 6 Plus,,25900,,29500,32900,,,,
iPhone 6S,,24500,,28500,32500,,,,
iPhone 6S Plus,,28500,,32500,36500,,,,
iPhone SE (1st generation),,15500,,19500,,,,,
iPhone SE (2nd generation),,,,14500,16500,20000,,,
iPhone SE (3rd generation),,,,13900,15500,19000,,,
iPhone 7,,,24500,,28500,32500,,,
iPhone 7 Plus,,,28900,,32900,36900,,,
iPhone 8,,,,25500,,30900,,,
iPhone 8 Plus,,,,28900,,34500,,,
iPhone X,,,,35900,,41500,,,
iPhone XR,,,,26900,28900,32500,,,
iPhone XS,,,,35900,,41500,48900,,
iPhone XS Max,,,,39900,,45500,52900,,
iPhone 11,,,,24900,26900,30400,,,
iPhone 11 Pro,,,,35900,,41400,48400,,
iPhone 11 Pro Max,,,,39900,,45400,52400,,
iPhone 12,,,,26900,28500,32000,,,
iPhone 12 mini,,,,23900,25500,29000,,,
iPhone 12 Pro,,,,,33900,37400,44400,,
iPhone 12 Pro Max,,,,,37900,41400,48400,,
iPhone 13,,,,,25900,29400,36400,,
iPhone 13 mini,,,,,22900,26900,33400,,
iPhone 13 Pro,,,,,32900,36400,43400,50400,
iPhone 13 Pro Max,,,,,36900,40400,47400,54400
iPhone 14,,,,,27900,31400,38400,,
iPhone 14 Plus,,,,,31900,35400,42400,,
iPhone 14 Pro,,,,,34900,38400,45400,52400,
iPhone 14 Pro Max,,,,,38900,42400,49400,56400,
iPhone 15,,,,,29900,33400,40400,,
iPhone 15 Plus,,,,,32900,36400,43400,,
iPhone 15 Pro,,,,,36900,40400,47400,54400,
iPhone 15 Pro Max,,,,,,44900,51900,58900,
iPhone 16,,,,,29900,33400,40400,,
iPhone 16 Plus,,,,,32900,36400,43400,,
iPhone 16 Pro,,,,,36900,40400,47400,54400,
iPhone 16 Pro Max,,,,,,44900,51900,58900,
iPhone 16E,,,,,21900,25400,32400,,
