title,price,location,date,model,storage,price_num,normalized_link
iPhone 16 256GB 黑色「全新」,"NT$29,000","Taipei, Taiwan",2025-06-26,iPhone 16,256,29000.0,https://www.facebook.com/marketplace/item/24012055811770292/
iPhone 16 plus 256粉,"NT$28,900",New Taipei City,2025-06-26,iPhone 16 Plus,256,28900.0,https://www.facebook.com/marketplace/item/23914033518254422/
售 iphone 16 plus 128g 粉色,"NT$24,000",New Taipei City,2025-06-26,iPhone 16 Plus,128,24000.0,https://www.facebook.com/marketplace/item/1115656747067502/
iPhone 16 PRO MAX 256 GB 原鈦色｜近全新｜電池100%,"NT$35,000",New Taipei City,2025-06-26,iPhone 16 Pro Max,256,35000.0,https://www.facebook.com/marketplace/item/4309966715954392/
iPhone 16 pro 256g,"$34,600",New Taipei City,2025-06-26,iPhone 16 Pro,256,34600.0,https://www.facebook.com/marketplace/item/604023538920248/
Iphone16 128g 黑色,"NT$20,500",New Taipei City,2025-06-26,iPhone 16,128,20500.0,https://www.facebook.com/marketplace/item/1346027563127837/
IPHONE16 256G 粉 全新未拆,"NT$29,000","Taipei, Taiwan",2025-06-26,iPhone 16,256,29000.0,https://www.facebook.com/marketplace/item/1254175359718520/
iPhone 16 pro 128g,"NT$29,500","Taipei, Taiwan",2025-06-26,iPhone 16 Pro,128,29500.0,https://www.facebook.com/marketplace/item/690827763856461/
售二手iPhone 14 Pro 256G 或全新 iPhone 16 Pro 256G,"NT$16,500","Taipei, Taiwan",2025-06-26,Multiple,256,16500.0,https://www.facebook.com/marketplace/item/735377885567926/
iPhone 16 Pro Desert Titanium 256GB 越南買回,"NT$34,499","Taipei, Taiwan",2025-06-26,iPhone 16 Pro,256,34499.0,https://www.facebook.com/marketplace/item/706097585482513/
iPhone 16 pro max 256g 金✨漂亮無傷 新北面交,"NT$35,500",New Taipei City,2025-06-26,iPhone 16 Pro Max,256,35500.0,https://www.facebook.com/marketplace/item/23933727296314160/
IPhone 16 +,"NT$33,888",New Taipei City,2025-06-26,iPhone 16,Unknown,33888.0,https://www.facebook.com/marketplace/item/1680403506695639/
iphone16 pro 256g,"NT$35,500",New Taipei City,2025-06-26,iPhone 16 Pro,256,35500.0,https://www.facebook.com/marketplace/item/708431985265452/
iPhone 16 Pro 256G 全系列,"NT$35,490","Taipei, Taiwan",2025-06-26,iPhone 16 Pro,256,35490.0,https://www.facebook.com/marketplace/item/3950259788621297/
iPhone 16 pro max 512g 黑色✨電池100 新北面交,"NT$41,500",New Taipei City,2025-06-26,iPhone 16 Pro Max,512,41500.0,https://www.facebook.com/marketplace/item/699231009411936/
Iphone16 pro max 256g 沙漠金,"NT$36,900",New Taipei City,2025-06-26,iPhone 16 Pro Max,256,36900.0,https://www.facebook.com/marketplace/item/727568976341519/
Iphone16 pro 512GB 全新未拆封👌🏻,"NT$42,000",New Taipei City,2025-06-26,iPhone 16 Pro,512,42000.0,https://www.facebook.com/marketplace/item/3657519687883134/
iPhone 16 pro max 512 G,"NT$45,000","Taipei, Taiwan",2025-06-26,iPhone 16 Pro Max,512,45000.0,https://www.facebook.com/marketplace/item/1996533734420916/
Iphone 16 Pro 256,"NT$35,000","Taipei, Taiwan",2025-06-26,iPhone 16 Pro,256,35000.0,https://www.facebook.com/marketplace/item/677159682150819/
Iphone16e 128g 黑 全新未拆 電信續約機,"NT$18,800","Taipei, Taiwan",2025-06-26,iPhone 16E,128,18800.0,https://www.facebook.com/marketplace/item/743298051381896/
iPhone 16Pro max 256GB🔋100%,"NT$36,000","Taipei, Taiwan",2025-06-26,iPhone 16 Pro Max,256,36000.0,https://www.facebook.com/marketplace/item/1254304985537561/
iPhone 16 Pro Max 256GB🔋100%,"NT$35,900",New Taipei City,2025-06-26,iPhone 16 Pro Max,256,35900.0,https://www.facebook.com/marketplace/item/747408354531637/
Apple iPhone 16 128G 黑,"NT$10,000","Taipei, Taiwan",2025-06-26,iPhone 16,128,10000.0,https://www.facebook.com/marketplace/item/1117662607047478/
iPhone 16 128GB 白色 原廠保固至2026/03/28,"NT$23,000","Taipei, Taiwan",2025-06-26,iPhone 16,128,23000.0,https://www.facebook.com/marketplace/item/1348348339572891/
iPhone 16 e 128G 白色,"NT$18,500","Taipei, Taiwan",2025-06-26,iPhone 16,128,18500.0,https://www.facebook.com/marketplace/item/1945354916210033/
【販售商品】I phone16 128,"NT$21,000",New Taipei City,2025-06-26,iPhone 16,128,21000.0,https://www.facebook.com/marketplace/item/1228719968694979/
售iPhone 16 128G 白色,"NT$23,500",New Taipei City,2025-06-26,iPhone 16,128,23500.0,https://www.facebook.com/marketplace/item/893595182967478/
iPhone16 128g白￼,"NT$22,000",New Taipei City,2025-06-26,iPhone 16,128,22000.0,https://www.facebook.com/marketplace/item/4079247978995713/
16-128G 電池99 不議價,"NT$20,500",New Taipei City,2025-06-26,iPhone 16,128,20500.0,https://www.facebook.com/marketplace/item/1279109503639630/
IPhone 16 Pro - 128Gb likenew Fullbox,"NT$25,000",New Taipei City,2025-06-26,iPhone 16 Pro,128,25000.0,https://www.facebook.com/marketplace/item/691576650541196/
