title,price,location,date,model,storage,price_num,normalized_link
我需要一隻iPhone 12 iPhone 13 128 G B需要有人多餘的手機可以割愛給我,"$3,000","Yünlin, Taiwan",2025-06-27,Multiple,128,3000.0,https://www.facebook.com/marketplace/item/1020539176734251/
出自用iPhone11 64g 沒有維修,"NT$1,600","Taipei, Taiwan",2025-06-26,iPhone 11,64,1600.0,https://www.facebook.com/marketplace/item/1227326972303867/
換了15pro 出 iPhone11 64G,"NT$1,600","Taichung, Taiwan",2025-06-25,iPhone 11,64,1600.0,https://www.facebook.com/marketplace/item/1203988870568880/
iPhone i11 64g 黑色,"NT$1,100",Changhua,2025-06-27,iPhone 11,64,1100.0,https://www.facebook.com/marketplace/item/4064760553739100/
Iphone11 128G*2,"NT$8,500",New Taipei City,2025-07-03,iPhone 11,128,8500.0,https://www.facebook.com/marketplace/item/582269544703405/
iphone 11 128g 自用一手 可面交,"NT$1,100","Taipei, Taiwan",2025-06-27,iPhone 11,128,1100.0,https://www.facebook.com/marketplace/item/981370536847684/
二手iPhone 11 128G 綠 功能正常 Iphone11 i11 apple 蘋果 6.1吋,"NT$1,200","Kaohsiung, Taiwan",2025-06-27,iPhone 11,128,1200.0,https://www.facebook.com/marketplace/item/988415002789584/
iphone 11 128g 白色 全機功能都正常,"NT$1,200","Tainan, Taiwan",2025-06-27,iPhone 11,128,1200.0,https://www.facebook.com/marketplace/item/606726645563683/
Iphone 11 128G,"NT$1,100",New Taipei City,2025-06-27,iPhone 11,128,1100.0,https://www.facebook.com/marketplace/item/1179929203685682/
iPhone 11 128 G綠 極新 電池100%,"NT$1,100","Taoyuan District, Taoyuan",2025-06-27,iPhone 11,128,1100.0,https://www.facebook.com/marketplace/item/979060574202325/
iPhone 11 128 G綠 極新 電池100%,"NT$1,100","Taoyuan District, Taoyuan",2025-06-27,iPhone 11,128,1100.0,https://www.facebook.com/marketplace/item/2257963584659693/
iPhone 11 128g 綠色,"NT$1,200","Tainan, Taiwan",2025-06-27,iPhone 11,128,1200.0,https://www.facebook.com/marketplace/item/1228084255719063/
iPhone 11 128G 紫色 低價出,"NT$1,200","Taichung, Taiwan",2025-07-03,iPhone 11,128,1200.0,https://www.facebook.com/marketplace/item/3571869746282628/
iPhone 11 128G白 電池100,"NT$1,200","Kaohsiung, Taiwan",2025-07-03,iPhone 11,128,1200.0,https://www.facebook.com/marketplace/item/1073134670939664/
iPhone 11 128GB 白,"NT$1,200","Taipei, Taiwan",2025-07-03,iPhone 11,128,1200.0,https://www.facebook.com/marketplace/item/1396816711581345/
iPhone 11 128g,"NT$1,100","Taipei, Taiwan",2025-06-25,iPhone 11,128,1100.0,https://www.facebook.com/marketplace/item/718270230546499/
Iphone11 128G價低 撿漏,"NT$1,100",New Taipei City,2025-06-25,iPhone 11,128,1100.0,https://www.facebook.com/marketplace/item/1208861164070487/
iPhone 11 128GB 白,"NT$1,200",New Taipei City,2025-06-25,iPhone 11,128,1200.0,https://www.facebook.com/marketplace/item/24707413865516006/
iphone 11 128g 自用一手 可面交,"NT$1,200",New Taipei City,2025-06-25,iPhone 11,128,1200.0,https://www.facebook.com/marketplace/item/515255258192243/
iPhone 11 128 綠 極新 電池100%,"NT$1,100",New Taipei City,2025-06-25,iPhone 11,128,1100.0,https://www.facebook.com/marketplace/item/1091787316181043/
回收二手iPhone 11-16,$300,New Taipei City,2025-06-26,iPhone 11,Unknown,300.0,https://www.facebook.com/marketplace/item/1025856136427668/
iPhone 11,"NT$8,000","Kaohsiung, Taiwan",2025-07-03,iPhone 11,Unknown,8000.0,https://www.facebook.com/marketplace/item/1690148551603152/
IPHONE 11 pro 256G 銀 二手 中古 便宜 外觀8.5成新 副廠電池 限店取,"NT$5,500","Taipei, Taiwan",2025-07-03,iPhone 11 Pro,256,5500.0,https://www.facebook.com/marketplace/item/2500408696981071/
iPhone 11 Pro 256G,"$8,500",Hualian City,2025-06-27,iPhone 11 Pro,256,8500.0,https://www.facebook.com/marketplace/item/989242952874824/
IPHONE 11 PRO 256G,"NT$5,500",New Taipei City,2025-06-27,iPhone 11 Pro,256,5500.0,https://www.facebook.com/marketplace/item/1474429750394744/
iphone11 pro 256g 綠,"NT$9,500","Tainan, Taiwan",2025-07-03,iPhone 11 Pro,256,9500.0,https://www.facebook.com/marketplace/item/1070689001690392/
iPhone 11 pro max 64G 黑色 功能正常,"NT$2,300","Kaohsiung, Taiwan",2025-07-03,iPhone 11 Pro Max,64,2300.0,https://www.facebook.com/marketplace/item/636613385373527/
iPhone 12 64G 自用,"NT$1,300","Taoyuan District, Taoyuan",2025-07-03,iPhone 12,64,1300.0,https://www.facebook.com/marketplace/item/712732358329563/
徵。iPhone 12 64G/128G手機一枚。給小孩使用的。,$999,Zhunan,2025-07-03,iPhone 12,64,999.0,https://www.facebook.com/marketplace/item/1864274054417548/
收一台iPhone 12以上要256G,"NT$45,000","Tainan, Taiwan",2025-06-27,iPhone 12,256,45000.0,https://www.facebook.com/marketplace/item/2378007842593738/
收IPhone 12/13/14以上,"$999,999","Taoyuan District, Taoyuan",2025-06-27,iPhone 12,Unknown,999999.0,https://www.facebook.com/marketplace/item/1944410166328387/
收一台iphone12 白色或黑色 功能全部正常 雙北面交 手機行先不用🙏,Free,"Taipei, Taiwan",2025-06-25,iPhone 12,Unknown,0.0,https://www.facebook.com/marketplace/item/1116034403881037/
IPhone 12 Pro 128G 太平洋藍色,"NT$1,200","Taichung, Taiwan",2025-06-27,iPhone 12 Pro,128,1200.0,https://www.facebook.com/marketplace/item/1040742484711264/
IPhone 12 Pro 128G 太平洋藍色,"NT$1,200","Taipei, Taiwan",2025-06-25,iPhone 12 Pro,128,1200.0,https://www.facebook.com/marketplace/item/1231041938796415/
12pro 256,Free,"Taipei, Taiwan",2025-06-26,iPhone 12 Pro,256,0.0,https://www.facebook.com/marketplace/item/2972888182885911/
售一台破損IPhone 12pro,"NT$3,000","Taipei, Taiwan",2025-07-03,iPhone 12 Pro,Unknown,3000.0,https://www.facebook.com/marketplace/item/963561412458420/
iPhone 12 mini 64G 紅,"NT$2,500","Taoyuan District, Taoyuan",2025-06-27,iPhone 12 mini,64,2500.0,https://www.facebook.com/marketplace/item/1341967093508529/
Iphone12mini 128GB 紅,"NT$7,000",New Taipei City,2025-07-03,iPhone 12 mini,128,7000.0,https://www.facebook.com/marketplace/item/1033711735540007/
iPhone 12mini 128G 綠,"NT$1,200","Taoyuan District, Taoyuan",2025-06-27,iPhone 12 mini,128,1200.0,https://www.facebook.com/marketplace/item/9658126310982010/
【出售】：iPhone 12 mini 【顏色】：藍 【容量】：128GB 【狀態】：外觀全新完整盒裝 【價格】：8800 女用手機 台中可面交,"NT$8,800","Taichung, Taiwan",2025-07-03,iPhone 12 mini,128,8800.0,https://www.facebook.com/marketplace/item/2239862039797177/
iPhone 13，128g,"NT$13,000","Taichung, Taiwan",2025-06-27,iPhone 13,128,13000.0,https://www.facebook.com/marketplace/item/613610971387476/
Iphone 13 128g 白色 一切正常無損傷,"NT$3,000",New Taipei City,2025-06-25,iPhone 13,128,3000.0,https://www.facebook.com/marketplace/item/596422480035365/
IPhone 13 128 使用不到一個月,"NT$3,000",New Taipei City,2025-06-25,iPhone 13,128,3000.0,https://www.facebook.com/marketplace/item/1128398051921144/
apple iphone13 128 白色 二手機,"NT$3,000","Taipei, Taiwan",2025-06-25,iPhone 13,128,3000.0,https://www.facebook.com/marketplace/item/925474706410615/
iPhone-13,"$15,000","Yüanlin, T'Ai-Wan, Taiwan",2025-06-27,iPhone 13,Unknown,15000.0,https://www.facebook.com/marketplace/item/1145397480411566/
Iphone13 pro藍 128,"NT$7,000","Taoyuan District, Taoyuan",2025-06-27,iPhone 13 Pro,128,7000.0,https://www.facebook.com/marketplace/item/602476322712918/
自售iphone 13 pro 128 松嶺青,"NT$7,000","Tainan, Taiwan",2025-07-03,iPhone 13 Pro,128,7000.0,https://www.facebook.com/marketplace/item/1465478124892263/
自售iphone 13 pro 128 松嶺青,"NT$7,000",Changhua,2025-07-03,iPhone 13 Pro,128,7000.0,https://www.facebook.com/marketplace/item/657838543966774/
自售iphone 13 pro 128 松嶺青,"NT$7,000","Taoyuan District, Taoyuan",2025-06-26,iPhone 13 Pro,128,7000.0,https://www.facebook.com/marketplace/item/1078112250875551/
自售iphone 13 pro 128 松嶺青,"NT$7,000",New Taipei City,2025-06-25,iPhone 13 Pro,128,7000.0,https://www.facebook.com/marketplace/item/2718879558323010/
iPhone 13pro 128g,"NT$1,200","Taipei, Taiwan",2025-06-25,iPhone 13 Pro,128,1200.0,https://www.facebook.com/marketplace/item/1407577343859973/
