title,model,storage
iPhone 16 256GB 黑色「全新」,iPhone 16,256
iPhone 16 plus 256粉,iPhone 16 Plus,256
售 iphone 16 plus 128g 粉色,iPhone 16 Plus,128
iPhone 16 PRO MAX 256 GB 原鈦色｜近全新｜電池100%,iPhone 16 Pro Max,256
iPhone 16 pro 256g,iPhone 16 Pro,256
Iphone16 128g 黑色,iPhone 16,128
IPHONE16 256G 粉 全新未拆,iPhone 16,256
iPhone 16 pro 128g,iPhone 16 Pro,128
售二手iPhone 14 Pro 256G 或全新 iPhone 16 Pro 256G,Multiple,256
iPhone 16 Pro Desert Titanium 256GB 越南買回,iPhone 16 Pro,256
iPhone 16 pro max 256g 金✨漂亮無傷 新北面交,iPhone 16 Pro Max,256
IPhone 16 +,iPhone 16,Unknown
iphone16 pro 256g,iPhone 16 Pro,256
iPhone 16 Pro 256G 全系列,iPhone 16 Pro,256
iPhone 16 pro max 512g 黑色✨電池100 新北面交,iPhone 16 Pro Max,512
Iphone16 pro max 256g 沙漠金,iPhone 16 Pro Max,256
Iphone16 pro 512GB 全新未拆封👌🏻,iPhone 16 Pro,512
iPhone 16 pro max 512 G,iPhone 16 Pro Max,512
Iphone 16 Pro 256,iPhone 16 Pro,256
Iphone16e 128g 黑 全新未拆 電信續約機,iPhone 16E,128
iPhone 16Pro max 256GB🔋100%,iPhone 16 Pro Max,256
iPhone 16 Pro Max 256GB🔋100%,iPhone 16 Pro Max,256
Apple iPhone 16 128G 黑,iPhone 16,128
iPhone 16 128GB 白色 原廠保固至2026/03/28,iPhone 16,128
iPhone 16 e 128G 白色,iPhone 16,128
【販售商品】I phone16 128,iPhone 16,128
售iPhone 16 128G 白色,iPhone 16,128
iPhone16 128g白￼,iPhone 16,128
16-128G 電池99 不議價,iPhone 16,128
IPhone 16 Pro - 128Gb likenew Fullbox,iPhone 16 Pro,128
iPhone 16 Pro Max 256GB,iPhone 16 Pro Max,256
iPhone 16 Pro 128G全新未拆 Pchome購入,iPhone 16 Pro,128
iPhone 16 128GB 綠,iPhone 16,128
📱 出售 iPhone 16 黑色 128GB,iPhone 16,128
