model,storage,count,min_price,max_price,avg_price
Multiple,128,1,22900,22900,22900.0
Multiple,256,2,7800,16500,12150.0
iPhone 11,64,2,5500,5500,5500.0
iPhone 11,128,6,1100,1200,1133.3333333333333
iPhone 11,256,2,1100,5800,3450.0
iPhone 11 Pro,256,4,5500,7200,6672.5
iPhone 11 Pro Max,64,2,6700,7000,6850.0
iPhone 11 Pro Max,512,1,10000,10000,10000.0
iPhone 12,64,4,5000,7000,5825.0
iPhone 12,128,9,1300,8500,6266.666666666667
iPhone 12,256,4,2000,5000,3375.0
iPhone 12 Pro,128,5,1200,9800,4960.0
iPhone 12 Pro,256,2,7900,9000,8450.0
iPhone 12 Pro Max,128,4,2000,12000,8500.0
iPhone 12 Pro Max,256,6,11500,13500,12316.666666666666
iPhone 12 mini,64,3,5100,6000,5533.333333333333
iPhone 12 mini,128,1,5000,5000,5000.0
iPhone 12 mini,256,5,1100,7000,3900.0
iPhone 13,128,14,3000,10000,7700.0
iPhone 13,256,7,1200,1200,1200.0
iPhone 13 Pro,128,10,1200,14000,9440.0
iPhone 13 Pro,256,11,1200,22000,7927.272727272727
iPhone 13 Pro,512,1,13500,13500,13500.0
iPhone 13 Pro Max,128,2,17000,17000,17000.0
iPhone 13 Pro Max,256,7,1300,16000,5285.714285714285
iPhone 13 Pro Max,1024,1,17500,17500,17500.0
iPhone 13 mini,128,1,8000,8000,8000.0
iPhone 13 mini,256,1,10050,10050,10050.0
iPhone 14,128,4,11500,14000,13200.0
iPhone 14,256,3,4000,12000,9333.333333333334
iPhone 14 Plus,128,2,14500,15500,15000.0
iPhone 14 Pro,256,12,1300,18000,10373.333333333334
iPhone 14 Pro Max,128,4,1300,19500,6650.0
iPhone 14 Pro Max,256,3,1500,21900,13133.333333333334
iPhone 15,128,3,16000,17500,16833.333333333332
iPhone 15,256,3,1500,25000,15666.666666666666
iPhone 15 Plus,128,1,17300,17300,17300.0
iPhone 15 Plus,256,2,1500,23000,12250.0
iPhone 15 Pro,128,3,1500,23000,15166.666666666666
iPhone 15 Pro,256,9,1500,26000,16388.88888888889
iPhone 15 Pro Max,256,8,1500,29900,12925.0
iPhone 16,16,13,2000,45000,20723.076923076922
iPhone 16,128,1,22000,22000,22000.0
iPhone 16 Plus,16,2,25500,28500,27000.0
iPhone 16 Pro,16,8,2200,40350,26818.75
iPhone 16 Pro,128,1,32000,32000,32000.0
iPhone 16 Pro,256,1,35500,35500,35500.0
iPhone 16 Pro Max,16,15,250,300600,48130.0
iPhone 16 Pro Max,256,3,34500,36900,35800.0
iPhone 16E,128,4,17500,18900,18300.0
iPhone 16E,256,3,20500,22300,21600.0
iPhone 6,16,1,1000,1000,1000.0
iPhone 6,64,1,800,800,800.0
iPhone 6S,64,1,1500,1500,1500.0
iPhone 7 Plus,32,1,1000,1000,1000.0
iPhone 8 Plus,64,2,2500,3000,2750.0
iPhone 8 Plus,128,1,1100,1100,1100.0
iPhone 8 Plus,256,5,1000,4200,1680.0
iPhone SE,64,2,3500,5000,4250.0
iPhone SE,128,2,4000,7000,5500.0
iPhone X,64,2,3500,4000,3750.0
iPhone X,128,3,4000,5000,4333.333333333333
iPhone X,256,1,4500,4500,4500.0
iPhone XS,64,1,4900,4900,4900.0
iPhone XS,256,8,1100,7800,3875.0
